MCI	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	detalhe
205155172	18034	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	18034 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
205161497	30317	72488897	107840184	108706124	111630468	112955306	987827496	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	30317 - 72488897 - 107840184 - 108706124 - 111630468 - 112955306 - 987827496 - nan - nan - nan - nan - nan - nan - nan
205260028	32183821	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	32183821 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
205479535	580900460	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	580900460 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
205552839	71810576	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	71810576 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
205719029	113180410	123250358	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	113180410 - 123250358 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
206426993	15209	126904752	127222768	128942761	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	15209 - 126904752 - 127222768 - 128942761 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
206462721	37458	104608085	104608117	104608148	160529547	160546050	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	37458 - 104608085 - 104608117 - 104608148 - 160529547 - 160546050 - nan - nan - nan - nan - nan - nan - nan - nan
206719872	75211293	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	75211293 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
206813757	280711711	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	280711711 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
207235834	111884533	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	111884533 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
207686204	120506702	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	120506702 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
207709859	74821	152909806	152909807	152909910	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	74821 - 152909806 - 152909807 - 152909910 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
207796324	126606382	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	126606382 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
